Nom-Complet,Date-de-Naissance,Numéro-de-Téléphone,Email,Niveau-Scolaire,Filière-Souhaitée,Date-Candidature
"ahmed alaoui","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:04:28"
"ahmed alaoui","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:11:10"
"ahmed alaoui","2026-05-01","0656755093","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:13:54"
"ahmed alaoui","2026-05-01","0656755098","zakarianajim01@gmail.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:21:21"
"ahmed alaoui","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:26:17"
"ahmed alaoui","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:27:50"
"ahmed alaoui","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:29:58"
"zakaria najim","2026-05-01","0656755098","admin@example.com","Baccalauréat","Aide-Soignant","07/05/2026 19:32:40"
"zakaria najim","2026-05-01","0645644098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:34:58"
"najim","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 19:36:32"
"Test Ahmed","2000-01-01","0612345678","test@gmail.com","Baccalauréat","Aide-Soignant","07/05/2026 19:37:17"
"ahmed alaoui","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 20:01:32"
"ahmed alaoui","2026-05-01","0656755098","zakarianajim01@gmail.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 20:03:52"
"ahmed alaoui","2026-05-01","0656755098","zakarianajim01@gmail.com","Baccalauréat","Infirmier Polyvalent","07/05/2026 20:05:50"
"ahmed alaoui","2026-05-01","05643432","admin@example.com","2ème Année Baccalauréat","Infirmier Auxiliaire","07/05/2026 20:11:49"
"ahmed alaoui","","0656755098","","","Optique","07/05/2026 20:44:46"
"ahmed alaoui","","0656755098","","","Vendeur en Pharmacie","07/05/2026 20:47:56"
"najim","","0645644098","","","Optique","07/05/2026 20:49:22"
"zakaria najim","","05643432","","","Diététicien","07/05/2026 20:50:54"
"LDPDFFLD","2026-05-01","0656755093","a98340367@gmail.com","Baccalauréat","Infirmier Polyvalent","09/05/2026 16:49:04"
"LDPDFFLD","","05643432","","","Assistant Maternel","09/05/2026 16:49:48"
"xxxxxxx","","0656755093","","","Orthophoniste","09/05/2026 16:53:57"
"xxxxxxx","","05643432","","","Prothésiste Dentaire","09/05/2026 16:56:22"
"xxxxxxx","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","09/05/2026 16:58:36"
"xxxxxxx","2026-05-01","0656755093","admin@example.com","Baccalauréat","Infirmier Polyvalent","09/05/2026 16:59:26"
"xxxxxxx","2026-05-01","0656755098","admin@example.com","Baccalauréat","Infirmier Polyvalent","09/05/2026 17:00:33"
"LDPDFFLD","2026-05-01","0645644098","a98340367@gmail.com","Baccalauréat","Infirmier Polyvalent","09/05/2026 17:01:31"
"odvffvop","","0645644098","","","Secourisme","09/05/2026 17:52:52"
"xxxxxxxA","2026-05-01","0656755093","admin@example.com","Baccalaureate","Polyvalent Nurse","09/05/2026 21:21:07"
"LDPDFFLDXXXXX","","0645644098","","","Optique","09/05/2026 21:21:37"
"dsfdff","2026-05-01","2034439043","admin@example.com","Baccalauréat","Infirmier Polyvalent","09/05/2026 21:57:04"
